date,AVGO,GOOGL,MSFT,NVDA,TSM
2021-12-28,-0.007831,-0.008245,-0.003504,-0.020133,-0.005216
2021-12-29,0.005396,-0.000218,0.002051,-0.010586,-0.005325
2021-12-30,-0.011195,-0.003099,-0.007691,-0.013833,-0.008154
2021-12-31,0.000496,-0.009224,-0.008841,-0.005915,-0.000913
2022-01-03,-0.003141,0.000963,-0.004668,0.024141,0.070568
2022-01-04,0.011458,-0.004083,-0.017147,-0.027589,0.035714
2022-01-05,-0.041615,-0.045876,-0.038388,-0.057562,-0.047526
2022-01-06,-0.009285,-0.0002,-0.007902,0.020794,0.011097
2022-01-07,-0.028068,-0.005303,0.00051,-0.03304,-0.038686
2022-01-10,0.003246,0.012061,0.000732,0.005615,0.012227
2022-01-11,0.001433,0.007691,0.002259,0.015219,0.033277
2022-01-12,-8e-05,0.012127,0.010445,0.006543,0.02369
2022-01-13,-0.039888,-0.020105,-0.042323,-0.050859,0.052636
2022-01-14,-0.001373,0.006447,0.017717,0.01381,0.010561
2022-01-18,-0.031155,-0.024968,-0.024339,-0.038564,-0.048557
2022-01-19,-0.023919,-0.006482,0.002247,-0.032274,-0.021072
2022-01-20,-0.028814,-0.013389,-0.005703,-0.036582,-0.020456
2022-01-21,-0.026455,-0.022174,-0.018468,-0.032133,-0.029611
2022-01-24,0.015659,0.003471,0.001149,-8.6e-05,0.011483
2022-01-25,-0.013738,-0.029579,-0.026588,-0.04484,-0.027628
2022-01-26,0.043022,0.018104,0.028493,0.020068,0.004899
2022-01-27,-0.026583,-0.001764,0.010549,-0.03636,-0.054436
2022-01-28,0.032804,0.033689,0.028082,0.040831,0.010569
2022-01-31,0.046028,0.014642,0.008824,0.072067,0.042683
2022-02-01,0.011675,0.017298,-0.007139,0.006208,0.003425
2022-02-02,0.018069,0.075238,0.015222,0.024515,0.008939
2022-02-03,-0.037419,-0.033176,-0.038952,-0.051264,-0.034716
2022-02-04,0.016028,0.001419,0.015569,0.015492,0.009846
2022-02-07,-0.004287,-0.028557,-0.01631,0.016818,0.010659
2022-02-08,0.021425,0.001422,0.011995,0.015367,0.011446
2022-02-09,0.018527,0.015732,0.021835,0.063605,0.014631
2022-02-10,-0.032682,-0.02099,-0.028373,-0.03299,-0.006453
2022-02-11,-0.030337,-0.031291,-0.024274,-0.072607,-0.029669
2022-02-14,0.008999,0.00926,-0.000136,0.013278,-0.010247
2022-02-15,0.041809,0.007987,0.018542,0.091812,0.039659
2022-02-16,-0.009224,0.008268,-0.001165,0.000604,-0.007388
2022-02-17,-0.030492,-0.037746,-0.029282,-0.075591,-0.031068
2022-02-18,0.00171,-0.016116,-0.009631,-0.035296,-0.003758
2022-02-22,-0.004362,-0.004521,-0.000729,-0.010659,-0.020116
2022-02-23,-0.021248,-0.017144,-0.025893,-0.042882,-0.008639
2022-02-24,0.026204,0.039996,0.051094,0.060794,-0.034685
2022-02-25,0.01381,0.013328,0.009233,0.017223,-0.00581
2022-02-28,-0.000969,0.004444,0.004978,0.009438,-0.037939
2022-03-01,-0.029484,-0.007371,-0.012852,-0.037236,0.009719
2022-03-02,0.027468,0.003804,0.017766,0.031818,0.014438
2022-03-03,-0.012257,-0.004994,-0.014224,-0.020892,-0.007481
2022-03-04,0.030055,-0.014884,-0.020479,-0.032808,-0.034286
2022-03-07,-0.042434,-0.041908,-0.037777,-0.069062,-0.054921
2022-03-08,0.009199,0.005745,-0.010971,0.007587,0.007151
2022-03-09,0.036583,0.049687,0.045858,0.069722,0.0495
2022-03-10,-0.015561,-0.007424,-0.010087,-0.015469,-0.009433
2022-03-11,-0.01681,-0.019324,-0.019328,-0.024627,-0.024529
2022-03-14,-0.017392,-0.03018,-0.012961,-0.034842,-0.020807
2022-03-15,0.043959,0.02578,0.038743,0.077028,0.028097
2022-03-16,0.024226,0.031599,0.025213,0.066295,0.04006
2022-03-17,-0.00733,0.00419,0.002819,0.011022,0.007569
2022-03-18,0.012843,0.017084,0.017648,0.068118,0.00216
2022-03-21,-0.008224,-0.000176,-0.004227,0.010623,0.001874
2022-03-22,0.016714,0.027674,0.016379,-0.007855,0.001122
2022-03-23,-0.019564,-0.011386,-0.01503,-0.033555,-0.015789
2022-03-24,0.04513,0.02384,0.015393,0.098151,0.024395
2022-03-25,0.003895,0.000713,-0.001381,-0.01627,-0.011027
2022-03-28,0.006377,-0.001535,0.023117,0.019031,-0.003748
2022-03-29,0.013573,0.007423,0.015159,0.015486,0.027462
2022-03-30,-0.016182,-0.003979,-0.004914,-0.03371,-0.023066
2022-03-31,-0.002234,-0.020227,-0.017683,-0.01459,-0.023143
2022-04-01,-0.004288,0.007788,0.0036,-0.021036,-0.014099
2022-04-04,0.012552,0.020128,0.017937,0.024259,0.019457
2022-04-05,-0.032653,-0.01665,-0.012985,-0.05223,-0.021853
2022-04-06,-0.019736,-0.028757,-0.036606,-0.058771,-0.012878
2022-04-07,0.001744,-0.00483,0.006244,-0.008153,-0.006523
2022-04-08,-0.026615,-0.019141,-0.0146,-0.044985,-0.012236
2022-04-11,-0.010886,-0.033492,-0.039432,-0.051992,-0.017323
2022-04-12,0.007682,-0.008609,-0.011218,-0.018844,-0.001332
2022-04-13,0.012768,0.017065,0.019712,0.032506,0.041667
2022-04-14,-0.031542,-0.024358,-0.027084,-0.042562,-0.030936
2022-04-18,0.022044,0.007469,0.002466,0.024697,0.004168
2022-04-19,0.01896,0.018269,0.01704,0.019052,0.006885
2022-04-20,0.000167,-0.015145,0.003715,-0.032255,-0.004424
2022-04-21,-0.008348,-0.025191,-0.019381,-0.060469,-0.013635
2022-04-22,-0.009751,-0.041494,-0.024144,-0.033097,-0.020275
2022-04-25,0.001584,0.028742,0.024413,0.019831,0.005853
2022-04-26,-0.047306,-0.035946,-0.037404,-0.055974,-0.036056
2022-04-27,-0.000946,-0.036709,0.048109,-0.019853,-0.027056
2022-04-28,0.034671,0.036992,0.022633,0.074233,0.054952
2022-04-29,-0.042405,-0.037233,-0.041812,-0.062431,-0.02405
2022-05-02,0.039611,0.021677,0.025043,0.053162,0.008931
2022-05-03,0.008363,0.006442,-0.009456,0.003533,-0.001387
2022-05-04,0.038698,0.041991,0.029101,0.037343,0.025206
2022-05-05,-0.039211,-0.047076,-0.043555,-0.073276,-0.040004
2022-05-06,0.00019,-0.006515,-0.009447,-0.008968,-0.005643
2022-05-09,-0.029616,-0.027953,-0.036946,-0.09237,-0.047255
2022-05-10,0.032811,0.016745,0.018596,0.038053,0.017411
2022-05-11,-0.024562,-0.006928,-0.03321,-0.054845,-0.011146
2022-05-12,0.007864,-0.006677,-0.019958,-0.02736,-0.001594
2022-05-13,0.029165,0.028415,0.022596,0.094652,0.03729
2022-05-16,-0.009469,-0.013835,0.001455,-0.024963,-0.006047
2022-05-17,0.04373,0.01772,0.020344,0.052885,0.032187
2022-05-18,-0.061794,-0.039267,-0.045424,-0.068163,-0.029897
2022-05-19,-0.042694,-0.013543,-0.0037,0.010981,-0.003535
2022-05-20,-0.005529,-0.013372,-0.002291,-0.025111,0.006319
2022-05-23,-0.030984,0.02369,0.032032,0.01222,0.007931
2022-05-24,-0.004104,-0.049494,-0.003952,-0.044029,-0.030383
2022-05-25,0.014174,-0.001557,0.01117,0.050823,0.019049
2022-05-26,0.035796,0.018785,0.012875,0.051605,0.006526
2022-05-27,0.059238,0.04197,0.027604,0.053779,0.03044
2022-05-31,-0.005401,0.01287,-0.005014,-0.007389,0.016317
2022-06-01,-0.011222,0.001143,0.002023,-0.018852,-0.005771
2022-06-02,0.005439,0.032755,0.007929,0.069432,0.016781
2022-06-03,-0.023269,-0.026198,-0.016607,-0.044508,-0.026676
2022-06-06,-0.00371,0.019901,-0.004703,0.003526,-0.007038
2022-06-07,0.020954,0.002816,0.013954,0.007452,0.00784
2022-06-08,-0.013316,0.00038,-0.00767,-0.014477,-0.003943
2022-06-09,-0.016167,-0.020125,-0.020783,-0.032175,-0.02803
2022-06-10,-0.026878,-0.031994,-0.044564,-0.059508,-0.023886
2022-06-13,-0.043694,-0.042902,-0.042413,-0.078178,-0.035295
2022-06-14,0.004926,0.003036,0.009205,0.012079,0.01917
2022-06-15,0.012573,0.028571,0.029735,0.043635,0.02225
2022-06-16,-0.056065,-0.033991,-0.02697,-0.05603,-0.046479
2022-06-17,0.002957,0.010469,0.01094,0.017884,0.005679
2022-06-21,0.01849,0.041071,0.024591,0.043199,0.022941
2022-06-22,-0.015225,-0.000506,-0.002404,-0.012435,-0.023462
2022-06-23,0.000968,0.006768,0.022637,-0.008252,-0.009304
2022-06-24,0.025192,0.051077,0.03415,0.055532,0.021398
2022-06-27,-0.006639,-0.018152,-0.010497,-0.015006,-0.000698
2022-06-28,-0.014356,-0.03303,-0.031749,-0.052582,-0.017703
2022-06-29,-0.01613,-0.002732,0.014738,-0.027531,-0.008181
2022-06-30,-0.00938,-0.024516,-0.013179,-0.024643,-0.022714
2022-07-01,-0.016406,-0.00207,0.010708,-0.041955,-0.058104
2022-07-05,-0.003223,0.041619,0.012597,0.030366,-0.011558
2022-07-06,0.013248,0.011557,0.012783,0.011093,-0.007226
2022-07-07,0.033008,0.036754,0.008227,0.048116,0.067364
2022-07-08,0.000301,0.004803,-0.002757,-0.001261,0.010663
2022-07-11,-0.031743,-0.030808,-0.011769,-0.043314,-0.029444
2022-07-12,-0.003086,-0.014316,-0.040982,-0.00462,-0.000126
2022-07-13,0.000748,-0.023391,-0.003745,0.005437,0.027687
2022-07-14,0.006041,-0.008855,0.005381,0.013717,0.029278
2022-07-15,0.020262,0.012776,0.01039,0.025371,0.023425
2022-07-18,-0.006876,-0.02458,-0.009621,0.021507,-0.02394
2022-07-19,0.036533,0.043841,0.020767,0.055338,0.030749
2022-07-20,0.005442,0.000791,0.010558,0.047964,0.004759
2022-07-21,0.011548,0.003863,0.009799,0.013646,0.01421
2022-07-22,-0.009968,-0.056323,-0.016916,-0.040499,-0.016745
